Place,From Kingston,From Scranton,From Canadensis,Map / Link,Notes,Coordinates,Address
Fruit and Veggies Picking,,,,,,,
Smith’ Berry farm,17 min,33 min,1 hr 8 min,Map,"Closed Sundays. Their blueberries season seems to be over, last week there were some blueberries left but mostly higher up, not really within younger kids reach. Also the bushes are very overgrown it's hard to walk through most rows without getting scratched by branches. It is a really beautiful property. Maybe they'll have it trimmed in time for next year. Slow down when almost there, it's a hidden driveway that's easy to miss","41.347395, -75.873371","1589 W 8th St, Wyoming, PA 18644"
Brace Orchard,24 min,36 min,1 hr 12 min,Map,"peaches, apples","41.399602, -75.898443","444 Brace Rd, Dallas, PA 18612"
Whistle Pig Pumpkin Patch,27 min,46 min,1 hr 21 min,Map,"raspberries, blueberries etc http://www.whistlepigpumpkin.com/","41.420397, -76.045333","3369 PA-29, Noxen, PA 18636"
Burger's Farm Market,33 min,45 min,1 hr,Map,blueberries and different veggies available depending on the time of season Website,"41.028727, -76.044788","371 St Johns Rd, Drums, PA 18222"
Pallman Farms,36 min,13 min,49 min,Map,Website,"41.472147, -75.710085","1511 Summit Lake Rd, Clarks Summit, PA 18411"
Stemmrich Blueberry Farm,37 min,49 min,1 hr 4 min,Map,no pets allowed. cash only. blueberries earlier and peaches later in the summer,"41.053579, -76.157301","71 E Cherry Ln, Nescopeck, PA 18635"
Berries & Blooms @ High Horizons Farm,42 min,46 min,1 hr 19 min,Map,blueberry picking first week of July till first week of August,"41.541349, -75.999933","128 Dziuba Ct, Tunkhannock, PA 18657"
Penn-Can Berry Farm,56 min,36 min,1 hr 9 min,Map,seasonally open berry farm Facebook,"41.827241, -75.684662","2531 PA-848, New Milford, PA 18834"
George Schmidt Berry Farm,1 hr 10 min,1 hr 21 min,1 hr 20 min,Map,different fruits and veggies available at different times of the season,"40.667264, -75.704068","5681 Berry Dr, New Tripoli, PA 18066"
general list of blueberry picking in NEPA,,,,Map,,,
Daisy Field Farm,37 min,48 min,49 min,Map,"542 Oley Valley Rd, White Haven, PA 18661 | Site: http://www.daisyfieldfarm.com/","41.059811, -75.822090","542 Oley Valley Rd, White Haven, PA 18661"
The Shoppes At Ritter's Farm,37 min,20 min,34 min,Map,"1459 Mt Cobb Rd, Lake Ariel, PA 18436 | Site: https://www.google.com/maps/search/?api=1&query=The%20Shoppes%20At%20Ritter%27s%20Farm","41.415096, -75.478254","1459 Mt Cobb Rd, Lake Ariel, PA 18436"
Ritter's Cider Mill,38 min,21 min,34 min,Map,"107 Wimmers Rd, Jefferson Township, PA 18436  •  Attractions, picking | Site: https://ritterscidermill.com/","41.400892, -75.469909","107 Wimmers Rd, Jefferson Township, PA 18436"
Brown Hill Farms,49 min,41 min,1 hr 15 min,Map,"405 W Avery Station Rd, Tunkhannock, PA 18657  •  Sunflowers, picking | Site: https://www.brownhillfarms.com/","41.627286, -75.915412","405 W Avery Station Rd, Tunkhannock, PA 18657"
Roba Family Farms,42 min,23 min,55 min,Map,"200 Cranston Ave, North Abington Township, PA 18414 | Site: https://robafamilyfarms.com/","41.554300, -75.688435","200 Cranston Ave, North Abington Township, PA 18414"
Spring Mountain Farms,46 min,56 min,58 min,Map,"4595 Interchange Rd, Lehighton, PA 18235 | Site: https://www.springmountainfarms.com/","40.846024, -75.624016","4595 Interchange Rd, Lehighton, PA 18235"
Gulicks Fruit Farm LLC,1 hr 19 min,1 hr 10 min,50 min,Map,"6490 Koehler Rd, Bangor, PA 18013 • (610) 498-3020","40.819175, -75.111922","6490 Koehler Rd, Bangor, PA 18013"
Playgrounds,,,,,,,
Kirby Park,5 min,31 min,1 hr 5 min,Map,near Market St bridge in Kingston,"41.250772, -75.892027","160 Market St, Wilkes-Barre, PA 18704"
Church Street Park,5 min,26 min,1 hr 1 min,Map,"great playground tall slide for older kids, .5 mile walk around the playground, paved path","41.265775, -75.875101","Kingston, PA 18704"
Hamilton Park aka James S. Keiper Memorial Park,3 min,27 min,1 hr 2 min,Map,on Hamilton Ave in Kingston,"41.263362, -75.878449","Hamilton Ave, Kingston, PA 18704"
Plains Township Municipal Park,12 min,27 min,1 hr 1 min,Map,beautiful playground. handicap accessible,"41.285229, -75.832999","Wilkes-Barre, PA 18705"
Dallas Nature Playground,15 min,34 min,1 hr 9 min,Map,"use this link, if you type in Dallas playground on Google maps it doesn't bring you to the right location","41.337734, -75.959795","92 Southside Ave, Dallas, PA 18612"
Nay Aug Park,27 min,6 min,45 min,Map,"cute nature based playground on a Lackawanna river trail head, nice paved kiddy road for bikes, mostly enclosed playground, it's on Nay Aug Avenue near Greenridge","41.400091, -75.644679","500 Arthur Ave, Scranton, PA 18510"
Weston Field,31 min,7 min,50 min,Map,"small playground, down the road from the Scranton farmers market (.5 mile), portable bathrooms","41.424207, -75.665615","982 Providence Rd, Scranton, PA 18508"
Monroe Street Park,31 min,3 min,45 min,Map,"between clay and Monroe ave in Scranton, fields, playground, no baby swings, sandbox, super sunny","41.419445, -75.641001","1317 Clay Ave, Scranton, PA 18510"
Crowley Park,34 min,8 min,46 min,Map,"Amazing climbing structures, new, basketball hoops, space to bike and shady, not much for young toddlers","41.437697, -75.634975","1199 Highnett Pl #901, Scranton, PA 18509"
Sarah Bratty Park,37 min,20 min,45 min,Map,tiny playground at a Lackawanna river trail,"41.481534, -75.550432","Winton Rd & Lackawanna River Heritage Trail, Archbald, PA 18403"
Factoryville Borough/Clinton Twp Joint Municipal Park,50 min,29 min,1 hr 3 min,Map,"AMAZING playground, tall slide and difficult playground and adorable toddler playground, way past clarks summit, huge hill to run down, stunning place","41.565375, -75.793712","166-178 Creek Rd, Factoryville, PA 18419"
Mountain View Park,50 min,42 min,25 min,Map,beautiful playground with lots of play structures,"41.053555, -75.328706","104 Mount View Park Ln, Tannersville, PA 18372"
Firefly Playground,1 hr 18 min,1 hr 2 min,53 min,Map,half way between Kingston and Monsey. only open some months of the year. call before to double check,"41.361815, -74.697478","Avenue S, Matamoras, PA 18336"
Kingston Neighborhood Park,5 min,26 min,1 hr 1 min,Map,"Kingston, PA 18704","41.274327, -75.881792","Kingston, PA 18704"
Andrew Barilla Jr. Park,7 min,28 min,1 hr 2 min,Map,"447 Slocum St, Swoyersville, PA 18704 • 447 Slocum St, Kingston PA","41.287970, -75.887966","447 Slocum St, Swoyersville, PA 18704"
Barney Farms Park,12 min,34 min,1 hr 9 min,Map,"178 Reliance Dr, Wilkes-Barre, PA 18702 | Site: https://www.google.com/maps/search/?api=1&query=Barney%20Farms%20Park","41.246567, -75.912905","178 Reliance Dr, Wilkes-Barre, PA 18702"
Jackson Township Park,16 min,35 min,1 hr 9 min,Map,"1275 Huntsville Rd, Shavertown, PA 18708","41.299059, -75.975210","1275 Huntsville Rd, Shavertown, PA 18708"
Spadi Park,15 min,23 min,58 min,Map,"12 Main St, Inkerman, PA 18640 • Jenkins Township","41.298940, -75.809071","12 Main St, Inkerman, PA 18640"
Laflin Creekside Community Playground,15 min,22 min,57 min,Map,"Wilkes-Barre, PA 18702  •  Recommended nice park | Site: https://www.google.com/maps/search/?api=1&query=Kingston%20Neighborhood%20Park","41.289256, -75.805113","Wilkes-Barre, PA 18702"
Yatesville Borough Park,18 min,21 min,56 min,Map,"Pittston Ave, Yatesville, PA 18640 | Site: https://www.google.com/maps/search/?api=1&query=Yatesville%20Borough%20Park","41.305588, -75.783296","Pittston Ave, Yatesville, PA 18640"
Duryea Community Park,25 min,18 min,53 min,Map,"Washington St, Duryea, PA 18642 • (570) 457-6120","41.351479, -75.764029","Washington St, Duryea, PA 18642"
Wright Township Recreation Park,24 min,36 min,1 hr,Map,"Park Rd, Mountain Top, PA 18707 • (570) 474-9067","41.137063, -75.908254","Park Rd, Mountain Top, PA 18707"
Falls Playground,31 min,27 min,1 hr 3 min,Map,"327 River Rd, Falls, PA 18615 • 327 River Rd, Falls, PA","41.461000, -75.856431","327 River Rd, Falls, PA 18615"
Hillside Park,40 min,17 min,53 min,Map,"1188 Winola Rd, South Abington Township, PA 18411 • (570) 586-8996","41.485247, -75.732033","1188 Winola Rd, South Abington Township, PA 18411"
Bloomsburg Town Park,56 min,1 hr 8 min,1 hr 23 min,Map,"Market St, Bloomsburg, PA 17815 | Site: https://www.google.com/maps/place/Bloomsburg+Town+Park,+Market+St,+Bloomsburg,+PA+17815/data=!4m2!3m1!1s0x89c587844448db2f:0x6244d7708aa8b60a","40.991453, -76.448362","Market St, Bloomsburg, PA 17815"
Covered Bridge Park,1 hr 5 min,1 hr 16 min,1 hr 9 min,Map,"2465 Wehr Mill Rd, Allentown, PA 18104  •  (610) 398-0407 | Site: https://www.google.com/maps/place/Covered+Bridge+Park,+2465+Wehr+Mill+Rd,+Allentown,+PA+18104/data=!4m2!3m1!1s0x89c4373d2b2966c1:0x63cd516e45cc2a09","40.628337, -75.569013","2465 Wehr Mill Rd, Allentown, PA 18104"
Cedar Beach Park,1 hr 9 min,1 hr 20 min,1 hr 10 min,Map,"2600 Parkway Blvd, Allentown, PA 18104  •  Big park good for all ages, Allentown | Site: https://www.google.com/maps/search/?api=1&query=Cedar%20Beach%20Park","40.593489, -75.511450","2600 Parkway Blvd, Allentown, PA 18104"
Playgrounds with sprinklers,,,,,,,
Coal Street Park,8 min,27 min,1 hr 2 min,Map,sprinklers on till 6 pm,"41.241697, -75.870098","Wilkes-Barre, PA 18702"
Sherwood Park aka S. Anthony's Memorial Park,28 min,8 min,42 min,Map,"Sherwood Park aka St Anthony's Memorial Park-  in Dunmore, New and old playground, has a splash pad and field, playground mostly enclosed","41.422074, -75.615485","450 Barnard St, Dunmore, PA 18512"
Novembrino Park,30 min,9 min,47 min,Map,in Scranton,"41.409987, -75.680838","Scranton, PA 18504"
